Pair,ClosePrice,CloseTime,QuoteAssetVolume
OPUSDT,0.53,1656719999999,9651887.5011
OPUSDT,0.525,1656806399999,6379137.93054
OPUSDT,0.522,1656892799999,3775524.84489
OPUSDT,0.56,1656979199999,7673064.87176
OPUSDT,0.524,1657065599999,9287853.17626
OPUSDT,0.544,1657151999999,6611119.43152
OPUSDT,0.577,1657238399999,11705764.5659
OPUSDT,0.566,1657324799999,11934467.72395
OPUSDT,0.574,1657411199999,5369605.26327
OPUSDT,0.533,1657497599999,5106592.06576
OPUSDT,0.481,1657583999999,5654557.23895
OPUSDT,0.45,1657670399999,7965587.2434
OPUSDT,0.475,1657756799999,13212207.03566
OPUSDT,0.492,1657843199999,11102565.63105
OPUSDT,0.483,1657929599999,9635197.48591
OPUSDT,0.522,1658015999999,10295892.48236
OPUSDT,0.581,1658102399999,42229684.58595
OPUSDT,0.817,1658188799999,119493228.43213
OPUSDT,0.721,1658275199999,60242066.49514
OPUSDT,0.685,1658361599999,66805200.65044
OPUSDT,0.776,1658447999999,43005783.45851
OPUSDT,0.835,1658534399999,73470490.24988
OPUSDT,0.94,1658620799999,90140467.07256
OPUSDT,0.919,1658707199999,56532069.28939
OPUSDT,0.795,1658793599999,45216810.23121
OPUSDT,0.827,1658879999999,36015019.3792
OPUSDT,1.052,1658966399999,71920191.97812
OPUSDT,1.448,1659052799999,198750029.3503
OPUSDT,1.838,1659139199999,303880824.07653
OPUSDT,1.808,1659225599999,142963916.79709
OPUSDT,1.583,1659311999999,74441886.25649
OPUSDT,1.232,1654127999999,184377773.99224
OPUSDT,1.546,1654214399999,224234125.09353
OPUSDT,1.362,1654300799999,156184648.74616
OPUSDT,1.393,1654387199999,90398376.64957
OPUSDT,1.165,1654473599999,77545054.57373
OPUSDT,1.321,1654559999999,72683364.97332
OPUSDT,1.108,1654646399999,65367616.96736
OPUSDT,0.73,1654732799999,81727798.03027
OPUSDT,0.824,1654819199999,62916919.29797
OPUSDT,0.879,1654905599999,90654137.89583
OPUSDT,0.762,1654991999999,48384174.2193
OPUSDT,0.645,1655078399999,58200456.48428
OPUSDT,0.546,1655164799999,55747240.54827
OPUSDT,0.565,1655251199999,38208339.3755
OPUSDT,0.593,1655337599999,35322336.65899
OPUSDT,0.489,1655423999999,24899708.25717
OPUSDT,0.518,1655510399999,13356531.0377
OPUSDT,0.451,1655596799999,22888726.66079
OPUSDT,0.509,1655683199999,16087823.59595
OPUSDT,0.501,1655769599999,21038760.74514
OPUSDT,0.515,1655855999999,23139311.23936
OPUSDT,0.462,1655942399999,14280349.10967
OPUSDT,0.522,1656028799999,12459926.88525
OPUSDT,0.59,1656115199999,42756183.3514
OPUSDT,0.581,1656201599999,43261257.09358
OPUSDT,0.539,1656287999999,27590603.77352
OPUSDT,0.537,1656374399999,12294551.80348
OPUSDT,0.529,1656460799999,21027337.95312
OPUSDT,0.581,1656547199999,30850160.74924
OPUSDT,0.547,1656633599999,18784333.29701
OPUSDT,1.057,1669939199999,28972710.73409
OPUSDT,1.107,1670025599999,25527975.36334
OPUSDT,1.039,1670111999999,11184424.00694
OPUSDT,1.071,1670198399999,14192627.41432
OPUSDT,1.028,1670284799999,15100051.80747
OPUSDT,1.059,1670371199999,10815535.57902
OPUSDT,1.025,1670457599999,14365111.52856
OPUSDT,1.081,1670543999999,15463086.34305
OPUSDT,1.069,1670630399999,27977998.54898
OPUSDT,1.049,1670716799999,10661474.14416
OPUSDT,1.015,1670803199999,8614642.90592
OPUSDT,1.046,1670889599999,13103790.29378
OPUSDT,1.139,1670975999999,33320743.17258
OPUSDT,1.147,1671062399999,34311152.78878
OPUSDT,1.067,1671148799999,21490101.1285
OPUSDT,0.945,1671235199999,34369023.32602
OPUSDT,0.947,1671321599999,19650780.88529
OPUSDT,0.925,1671407999999,9566143.7473
OPUSDT,0.885,1671494399999,11911057.14178
OPUSDT,0.972,1671580799999,21077515.38251
OPUSDT,0.964,1671667199999,12424547.8414
OPUSDT,0.951,1671753599999,13858940.85139
OPUSDT,0.954,1671839999999,7400711.69898
OPUSDT,0.932,1671926399999,5242538.6688
OPUSDT,0.934,1672012799999,6716715.2643
OPUSDT,0.948,1672099199999,4356659.75905
OPUSDT,0.941,1672185599999,10766311.7082
OPUSDT,0.896,1672271999999,16497248.31781
OPUSDT,0.914,1672358399999,8050324.70971
OPUSDT,0.913,1672444799999,6554204.03543
OPUSDT,0.917,1672531199999,3901821.44432
OPUSDT,0.893,1664668799999,6830714.27966
OPUSDT,0.843,1664755199999,7857231.98522
OPUSDT,0.868,1664841599999,11110672.47932
OPUSDT,0.871,1664927999999,10303810.01086
OPUSDT,0.863,1665014399999,6731577.54746
OPUSDT,0.852,1665100799999,8392006.48892
OPUSDT,0.846,1665187199999,5464530.73932
OPUSDT,0.836,1665273599999,3332299.22515
OPUSDT,0.844,1665359999999,2440991.21874
OPUSDT,0.752,1665446399999,8642799.69117
OPUSDT,0.739,1665532799999,9254878.7734
OPUSDT,0.748,1665619199999,4403464.93596
OPUSDT,0.732,1665705599999,11397917.34634
OPUSDT,0.717,1665791999999,5614090.91862
OPUSDT,0.686,1665878399999,3567482.69526
OPUSDT,0.699,1665964799999,3033615.17093
OPUSDT,0.766,1666051199999,6158707.51752
OPUSDT,0.74,1666137599999,9153861.6431
OPUSDT,0.69,1666223999999,5990573.12342
OPUSDT,0.672,1666310399999,4924514.43355
OPUSDT,0.73,1666396799999,8497077.07654
OPUSDT,0.747,1666483199999,9036902.51617
OPUSDT,0.83,1666569599999,19950703.75124
OPUSDT,0.84,1666655999999,23146672.96949
OPUSDT,0.974,1666742399999,51368081.50799
OPUSDT,1.115,1666828799999,70182395.03476
OPUSDT,1.069,1666915199999,45614062.96572
